会社名,担当者,電話番号,メールアドレス,カテゴリ,prtimesのURL,日時,連絡禁止,初回アポ済み
MHD モエ ヘネシー ディアジオ株式会社,"",03-5217-9777,moet@ssu.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000617.000006986.html,2023-05-23 10:21:14,"",""
合同会社IW,"",092-292-2350,info@sake-kurafan.com,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000015.000072880.html,2023-05-23 10:21:48,"",""
コスパグループ株式会社,"","",pr-in@cospa.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000410.000099047.html,2023-05-23 10:22:21,"",""
セレンディップ・ホールディングス株式会社,　川上,052-222-5306,information@serendip-c.com,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000029.000033982.html,2023-05-23 10:22:57,"",""
有限会社八重泉酒造,"",0980-83-8000,info@yaesen.com,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000009.000064092.html,2023-05-23 10:23:35,"",""
リッツＭＣ株式会社,"",03-5545-8321,pr@ritzmc.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000010.000093992.html,2023-05-23 10:24:11,"",""
株式会社立飛ホールディングス,"","",general@tachihi.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000001.000122135.html,2023-05-23 10:24:43,"",""
中央コンピューターサービス株式会社,入交（いりまじり）、大塚,0153-72-0115,michishiloca@ccs1981.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000004.000112760.html,2023-05-23 10:25:23,"",""
株式会社 金乃竹,八幡,0465-24-3635,m.yahata@kinnotake.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000057.000097935.html,2023-05-23 10:25:56,"",""
NetEase Interactive Entertainment Pte. Ltd,"","",neteasegamespr@global.netease.com,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000239.000071247.html,2023-05-23 10:28:50,"",""
株式会社SBI証券,柳下・米沢・倉田,03-5562-7215,sbisec2015@vectorinc.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000639.000007957.html,2023-05-23 10:30:29,"",""
三菱ＵＦＪ信託銀行株式会社,南嶋,03-3212-1211,yusuke_minamishima@tr.mufg.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000078.000036656.html,2023-05-23 10:31:35,"",""
株式会社山一商事,三津谷,03-3423-8113,mitsuya@polyvalent.tokyo.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000016.000067491.html,2023-05-23 10:32:41,"",""
株式会社リクルート,"",03-6835-3000,morita_t@r.recruit.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000002026.000011414.html,2023-05-23 10:33:12,"",""
株式会社アローリンク,渡邊,"",kana.watanabe@arrowlink.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000077.000070726.html,2023-05-23 10:33:45,"",""
株式会社フォンス,"",03-6450-4040,nishino.fonz@gmail.com,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000053.000044858.html,2023-05-23 10:34:20,"",""
住友不動産ヴィラフォンテーヌ株式会社,　稲葉,03-5925-7293,inaba.masanobu@j.sumitomo-rd.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000077.000069368.html,2023-05-23 10:34:58,"",""
フードディスカバリー株式会社,宛,03-6278-8829,koho@vege-fru.com,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000016.000110263.html,2023-05-23 10:35:34,"",""
日産自動車株式会社,］ 永戸(ナガト)：070-4515-7682 / 道具(ミチグ)：070-7789-2794,045-523-5523,nissan.pr@materialpr.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000114.000009883.html,2023-05-23 10:36:06,"",""
公益財団法人 日本財団パラスポーツサポートセンター,水口・松下・根本（緊急連絡先　水口：050-5235-5050）,03-6229-3721,parasapo@vectorinc.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000121.000023445.html,2023-05-23 10:36:43,"",""
ZEROCO株式会社,須⽥、楠,03-5778-0477,zeroco_pr@ssu.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000002.000120214.html,2023-05-23 10:37:22,"",""
株式会社サザビーリーグ　アイビーカンパニー,: 黒沢・石田,03-5412-1882,pr@shakeshack.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000808.000005743.html,2023-05-23 10:39:00,"",""
株式会社リソースクリエイション,"",03-5615-9990,pr@rc-group.co.jp　FAX：03-5615-9991,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000032.000087010.html,2023-05-23 10:41:14,"",""
株式会社グリーンカード,"",092-791-2272,kanri@green-card.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000117.000016681.html,2023-05-23 10:42:57,"",""
奥伊吹観光株式会社,山川博子　草野穣治,0749-59-0322,yamakawa@okuibuki.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000159.000025847.html,2023-05-23 10:45:35,"",""
株式会社　スペースエイジ,"",082-275-5607,: info@sa-works.com,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000181.000025520.html,2023-05-23 10:48:22,"",""
株式会社NTTドコモ,近藤、大野谷,"",xmoment_pr_ml@ml.docomo.com ／ 緊急連絡先：090-3068-6942（近藤）,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000028.000118641.html,2023-05-23 10:48:56,"",""
三谷産業株式会社,土屋、倉澤　本プレスリリースについて　担当：横溝、寺島,03-3514-6001,contact@tesera.jp 公式Webサイト： https://tesera.jp/,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000042.000032549.html,2023-05-23 10:51:11,"",""
株式会社ファイブアローズ,富樫（とがし）,087-813-7120,a.togashi@fivearrows.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000281.000060406.html,2023-05-23 10:53:30,"",""
株式会社シーラ,"",03-4560-0650,support@rimawarikun.com,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000081.000050760.html,2023-05-23 10:55:59,"",""
MAGO CREATION株式会社,"","",magogalleryonline@gmail.com,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000010.000066820.html,2023-05-23 10:56:35,"",""
トリニティ・テクノロジー株式会社,　大谷,03-6268-8805,pr@trinity-tech.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000046.000077937.html,2023-05-23 10:58:51,"",""
株式会社タイミー,東郷・荒川・松本,"",pr@timee.co.jp　TEL：080-7584-8431（松本）,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000171.000036375.html,2023-05-23 10:59:24,"",""
株式会社Lineup,阿部倫行,"",info@lineup.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000013.000102724.html,2023-05-23 10:59:57,"",""
ブロードマインド株式会社,冨永 (mobile：080-4754-5395),03-6859-8358,bm-pr@b-minded.com,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000068.000059559.html,2023-05-23 11:01:09,"",""
株式会社四季の自然舎,"",046-889-8900,media@maholova-minds.com,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000018.000018681.html,2023-05-23 11:02:19,"",""
gooddaysホールディングス株式会社,渡邊,03-5781-9070,gdh-pr@gooddays.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000013.000046420.html,2023-05-23 11:03:22,"",""
伊藤超短波株式会社,"",048-254-1011,itopr@itolator.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000090.000028866.html,2023-05-23 11:04:55,"",""
株式会社ハンズ,"",03-5155-5311,press-all@hands.net,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000299.000070824.html,2023-05-23 11:08:17,"",""
コネクテッドロボティクス株式会社,田口,042-404-2810,pr@connected-robotics.com,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000062.000031342.html,2023-05-23 11:08:50,"",""
慶應義塾,"","",m-pr@adst.keio.ac.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000008.000113691.html,2023-05-23 11:11:09,"",""
公益財団法人日本スポーツ協会,"",03-6910-5800,宛にお願いいたします。,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000267.000042202.html,2023-05-23 11:16:58,"",""
株式会社ドウシシャ,大竹 惇,06-6121-5888,jun-otake@doshisha.co.jp ／ pr-h@doshisha.co.jp　（第2事業部広報）,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000372.000028427.html,2023-05-23 11:19:13,"",""
株式会社Schoo,大金・森（実）,03-6455-1680,pr@schoo.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000238.000006391.html,2023-05-23 11:19:47,"",""
ケイアイスター不動産株式会社,"",0495-27-2772,press@ki-group.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000410.000029869.html,2023-05-23 11:20:21,"",""
三菱商事エネルギー株式会社,松下・吉田,03-4362-4200,mce-publicrelations@mc-ene.com,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000008.000088120.html,2023-05-23 11:21:31,"",""
一般財団法人休暇村協会,眞嶋（ましま） 祐介　／　小田桐 啓,03-3845-8651,kouho_pr@qkamura.or.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000287.000085653.html,2023-05-23 11:22:06,"",""
株式会社ビースタイル ホールディングス,兒玉・川﨑,03-5363-4400,pr@b-style.net,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000823.000003176.html,2023-05-23 11:22:41,"",""
株式会社石川ツエーゲン,中野由茉,076-254-5081,nakano@zweigen-kanazawa.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000685.000045234.html,2023-05-23 11:23:19,"",""
都築学園グループ,"","",r-hirata@fk.jue.ac.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000173.000020664.html,2023-05-23 11:23:55,"",""
学校法人明治大学,"","",koho@mics.meiji.ac.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000011.000119558.html,2023-05-23 11:26:10,"",""
Wolt Japan株式会社,"","",wolt@pr-tocs.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000123.000051508.html,2023-05-23 11:27:26,"",""
株式会社MOTTERU,菊池,"",motteru@motteru.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000071.000078304.html,2023-05-23 11:28:35,"",""
森トラスト・ホテルズ＆リゾーツ株式会社,根岸,03-6409-2811,pr@cyosaka.com,ライフスタイル,https://prtimes.jp/main/html/rd/p/000001139.000006521.html,2023-05-23 11:30:23,"",""
株式会社東京チェンソーズ,飯塚潤子、木田正人,042-588-5613,otsuka@tokyo-chainsaws.jp　TEL:042-588-5613,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000002.000121915.html,2023-05-23 11:30:57,"",""
大阪商工信用金庫,"",06-6267-2865,keieikikaku@osaka-shoko.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000004.000115620.html,2023-05-23 11:31:29,"",""
株式会社レバンガ北海道,"",011-555-9090,info@levanga.com,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000131.000035536.html,2023-05-23 11:34:51,"",""
ブリッド株式会社,"",052-689-2611,info@bride-jp.com,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000067.000034991.html,2023-05-23 11:37:24,"",""
株式会社SpinLife,中村,090-6768-5717,info@spinlife.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000044.000058098.html,2023-05-23 11:38:00,"",""
株式会社FUNDINNO,"",03-6721-6691,support@fundoor.com,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000208.000021941.html,2023-05-23 11:40:22,"",""
ブリッド株式会社,理事 ブリッド株式会社 代表取締役社長 高瀬嶺生）,052-689-2611,info@jmia.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000066.000034991.html,2023-05-23 11:40:57,"",""
合同会社花咲,依田・池田,"",mnhr45@gmail.com,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000001.000120095.html,2023-05-23 11:42:08,"",""
株式会社F.C.大阪,"",06-6264-2411,info@fc-osaka.com,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000484.000045155.html,2023-05-23 11:42:43,"",""
Flexispot Japan 株式会社,村岡、山口、鋤崎、三宅,050-5865-4050,FlexiSpot_PR@vectorinc.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000206.000027524.html,2023-05-23 11:43:17,"",""
UCC上島珈琲株式会社,"","",ucc-pr@ucc.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000118.000074056.html,2023-05-23 11:43:54,"",""
BPカストロール株式会社,"",03-5719-7800,bpcastrol-pr@kyodo-pr.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000017.000010286.html,2023-05-23 11:45:04,"",""
株式会社アスコットジャパン,"",03-6453-6030,ascott@ssu.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000067.000050125.html,2023-05-23 11:46:51,"",""
株式会社ネオキャリア,"",03-5908-8308,koho@neo-career.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000378.000011666.html,2023-05-23 11:47:26,"",""
株式会社スコープ,岡本優⼈,03-3556-7610,coim@scope-inc.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000056.000060036.html,2023-05-23 11:49:44,"",""
株式会社Cheer,平塚,"",ipa@cheercareer.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000118.000071628.html,2023-05-23 11:53:57,"",""
株式会社らかんスタジオ,"","",contact@laquan.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000054.000087871.html,2023-05-23 11:55:03,"",""
株式会社LIXIL,"","",michiko.saito@lixil.com ）,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000280.000015099.html,2023-05-23 11:55:39,"",""
株式会社Chompy,望月,03-4400-6920,mikako.mochizuki@chompy-inc.com,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000023.000062766.html,2023-05-23 11:56:45,"",""
株式会社F&V,千村,03-6871-8536,chimura@f-and-v.com,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000002.000103111.html,2023-05-23 11:57:56,"",""
株式会社テレビ西日本,嘉村,092-852-8555,kamura@tnc.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000003.000110934.html,2023-05-23 11:58:32,"",""
株式会社AlbaLink,行田（こうだ）,03-6458-8161,kouda@albalink.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000053.000055654.html,2023-05-23 11:59:09,"",""
株式会社QQ English,岩田 慎一,03-6773-5020,info_m@qqeng.com,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000153.000016874.html,2023-05-23 12:02:57,"",""
ホテルマネージメントインターナショナル株式会社,高橋,"",m.takahashi@hmi.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000201.000031330.html,2023-05-23 12:04:07,"",""
大江戸温泉物語ホテルズ＆リゾーツ株式会社,佐藤・前原,050-3665-9365,koho@oom.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000350.000018653.html,2023-05-23 12:05:08,"",""
株式会社AZWAY,佐藤,03-6820-2755,info@azway.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000014.000111955.html,2023-05-23 12:06:24,"",""
株式会社先端技術無人航空機トレーニングセンター,伊藤与志雄,045-444-8935,boss@autc.jp　FAX：045-444-8935,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000003.000117051.html,2023-05-23 12:07:02,"",""
ENEN株式会社,"",06-6252-1915,c.takahashi@onisi.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000005.000116023.html,2023-05-23 12:09:56,"",""
株式会社Mi-Oスポーツ,"","",info@reilac-shiga.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000012.000114582.html,2023-05-23 12:10:31,"",""
株式会社GAORA,"","",bansen@gaora.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000352.000009300.html,2023-05-23 12:12:55,"",""
マリオット・インターナショナル,"","",seiko.diep@stregis.com,ライフスタイル,https://prtimes.jp/main/html/rd/p/000001371.000011305.html,2023-05-23 12:14:10,"",""
ビットバンク株式会社,楠,"",pr@bitcoinbank.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000140.000024344.html,2023-05-23 12:14:44,"",""
母子モ株式会社,"",03-5333-6025,mtipr@mti.co.jp 　URL：https://www.mti.co.jp/,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000129.000099909.html,2023-05-23 12:15:19,"",""
加熱寿司,"","",info.kanetsu.sushi@gmail.com,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000003.000109541.html,2023-05-23 12:17:42,"",""
学校法人同志社　同志社女子大学,"",0774-65-8411,koho-t@dwc.doshisha.ac.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000008.000120207.html,2023-05-23 12:19:31,"",""
株式会社スプリックス,宮城・松井・富村,"",sprix@vectorinc.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000074.000045711.html,2023-05-23 12:19:53,"",""
株式会社ジェイアール西日本ホテル開発,　津川・山本,"",kikaku@narahotel.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000290.000095932.html,2023-05-23 12:21:03,"",""
グローバルベイス株式会社,︓井上／植⽥,"",︓pr@globalbase.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000032.000083506.html,2023-05-23 12:21:38,"",""
株式会社バンダイ,"","",n-onozato@bandai.co.jp／r-nakaoka@bandai-sp.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000019.000083086.html,2023-05-23 12:22:12,"",""
株式会社アイリックコーポレーション,入江,03-5840-9550,branding@irrc.co.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000835.000001256.html,2023-05-23 12:22:45,"",""
学校法人東京工芸大学,"","",university.pr@office.t-kougei.ac.jp,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000026.000074798.html,2023-05-23 12:24:38,"",""
株式会社グリップセカンド,山岡みどり,"",yamaoka@dining-grip.com,ライフスタイル,https://prtimes.jp/main/html/rd/p/000000013.000085319.html,2023-05-23 12:25:17,"",""
株式会社桃の館,マーケティング担当　伊藤真寛,0568-22-3232,kanri@momonoyakata.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000003.000098888.html,2023-05-30 23:47:36,"",""
株式会社パシュート,田川・伊藤,"",info@pursuit-inc.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000033.000060033.html,2023-05-30 23:48:03,"",""
株式会社RIQ,加藤,03-6336-6960,contact@a9club.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000008.000057959.html,2023-05-30 23:48:43,"",""
Lsdm Societa' A Responsabilita' Limitata Semplificata,林（携帯：070-1348-4774）、,"",50top_pizza@ssu.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000001.000122899.html,2023-05-30 23:50:16,"",""
ハイサイチキン株式会社,渡邉,03-6666-7915,akt616@gmail.com,グルメ,https://prtimes.jp/main/html/rd/p/000000003.000110258.html,2023-05-30 23:50:53,"",""
株式会社プレコフーズ,　成瀬（なるせ),03-5763-3051,m-naruse@precogroup.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000012.000054091.html,2023-05-30 23:51:25,"",""
株式会社 エーデルワイス,: 深田）,"",fukada@edelweiss.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000876.000017643.html,2023-05-30 23:54:29,"",""
株式会社船橋屋,"",03-3681-2784,pr@kuzumochi.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000252.000030085.html,2023-05-30 23:55:30,"",""
一般社団法人Miss SAKE,大西,03-6822-2470,all@misssake.org,グルメ,https://prtimes.jp/main/html/rd/p/000000046.000056502.html,2023-05-30 23:58:07,"",""
ヒルトン福岡シーホーク,"",092-844-8111,FUKHI_PR@hilton.com,グルメ,https://prtimes.jp/main/html/rd/p/000000039.000064269.html,2023-05-30 23:58:41,"",""
株式会社SU-BEE,宮本 侑佳（ミヤモト ユカ）,076-214-6008,miyamoto@su-bee.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000043.000060496.html,2023-05-30 23:59:13,"",""
ONODERA GROUP,"",03-5220-8550,kouhou@leoc.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000068.000097982.html,2023-05-30 23:59:45,"",""
かどや製油株式会社,担当：高田（080-4460-8139）、閔(みん)（080-3711-9270）、小川,"",kadoya_pr@ssu.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000031.000073243.html,2023-05-31 00:00:44,"",""
株式会社丸井グループ,太田（雅）・鈴木・橋本・永吉,03-3384-0101,koho-media@0101.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000003213.000003860.html,2023-05-31 00:01:08,"",""
株式会社ぐるなび,"",03-6744-6463,pr@gnavi.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000001262.000001511.html,2023-05-31 00:02:19,"",""
グループ・アラン・デュカス株式会社,鈴木、藤本、原田,03-3515-7033,f-pweek@kpress.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000001.000122814.html,2023-05-31 00:02:57,"",""
合同会社33cha,"",075-600-9480,info@33cha.cafe,グルメ,https://prtimes.jp/main/html/rd/p/000000004.000105622.html,2023-05-31 00:05:41,"",""
株式会社U-MORE,"",03-6277-3636,r-ito@umore.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000037.000011265.html,2023-05-31 00:08:05,"",""
株式会社不二家,"","",peko.press@fujiya-co.com　＜売り込みはご遠慮ください＞,グルメ,https://prtimes.jp/main/html/rd/p/000000078.000097396.html,2023-05-31 00:11:11,"",""
ハイアット セントリック 金沢,　天野、狩谷,"",hyattkanazawa@vectorinc.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000046.000058398.html,2023-05-31 00:14:17,"",""
株式会社　ベイシア,"",027-210-0001,be-kouhou@beisia.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000200.000069349.html,2023-05-31 00:15:15,"",""
株式会社マットソン,"","",pr@mattson.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000001.000121012.html,2023-05-31 00:17:21,"",""
株式会社マッシュホールディングス,牧野・宮田,03-3261-2851,pr@mash-holdings.com,グルメ,https://prtimes.jp/main/html/rd/p/000002038.000018505.html,2023-05-31 00:18:20,"",""
株式会社串カツ田中,徳留　東京都品川区東五反田1-7-6,03-5449-6410,ktpr@kushi-tanaka.co.jp　,グルメ,https://prtimes.jp/main/html/rd/p/000000396.000027839.html,2023-05-31 00:19:17,"",""
江崎グリコ株式会社,"","",koho-hodo@glico.com,グルメ,https://prtimes.jp/main/html/rd/p/000000380.000001124.html,2023-05-31 00:21:23,"",""
株式会社ロイヤルパークホテルズアンドリゾーツ,今井・佐藤・三留,03-6773-1860,e-imai@rphs.jp/k-sato@rphs.jp/a-mitome@rphs.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000555.000039557.html,2023-05-31 00:23:19,"",""
株式会社ロイヤルパークホテルズアンドリゾーツ,三留・佐藤・今井,03-6773-1860,a-mitome@rphs.jp/k-sato@rphs.jp/e-imai@rphs.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000554.000039557.html,2023-05-31 00:23:53,"",""
エスダムスメディアJAPAN株式会社,"","",info@sdums.net,グルメ,https://prtimes.jp/main/html/rd/p/000000757.000062684.html,2023-05-31 00:24:26,"",""
株式会社CLASSIC,"","",k.harashima@classic-inc.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000066.000073463.html,2023-05-31 00:24:59,"",""
株式会社ラ・テール,"",03-5431-0367,yao@laterre.com kasahara@laterre.com,グルメ,https://prtimes.jp/main/html/rd/p/000000016.000088503.html,2023-05-31 00:26:25,"",""
株式会社エクストレイズ,兒嶋 洋平,03-5607-3860,kojima@xtrayz.com,グルメ,https://prtimes.jp/main/html/rd/p/000000004.000079493.html,2023-05-31 00:27:35,"",""
株式会社金井酒造店,　岩浅,0463-88-7521,pr@kaneishuzo.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000017.000089585.html,2023-05-31 00:29:10,"",""
西日本鉄道株式会社,"",092-734-1242,minami.nakamura.zf@nnr-g.com,グルメ,https://prtimes.jp/main/html/rd/p/000000448.000017692.html,2023-05-31 00:29:40,"",""
株式会社ビーズインターナショナル,"","",sasano_yukari@bs-intl.com 　TEL：070-2152-9209,グルメ,https://prtimes.jp/main/html/rd/p/000000487.000018225.html,2023-05-31 00:31:14,"",""
株式会社BEKKAN,藤田,"",reserve@kasago.jp FAX：086-479-9500,グルメ,https://prtimes.jp/main/html/rd/p/000000009.000097436.html,2023-05-31 00:31:44,"",""
東急ホテルズ＆リゾーツ株式会社,"",03-3477-6566,f.koizumi@tokyuhotels.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000500.000044409.html,2023-05-31 00:32:49,"",""
株式会社ファイブグループ,式地（シキチ）,0422-28-4286,cc@five-group.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000187.000012709.html,2023-05-31 00:34:19,"",""
P2C Studio株式会社,kouhou@uuum.jp,03-5413-5374,contact+p2cstudio@uuum.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000089.000093698.html,2023-05-31 00:35:22,"",""
エイ・エイ・ピー・シー・ジャパン株式会社,近藤,03-5157-1733,H5701-MK@accor.com,グルメ,https://prtimes.jp/main/html/rd/p/000000130.000052177.html,2023-05-31 00:37:00,"",""
株式会社オークラ ニッコー ホテルマネジメント,"",03-6685-8995,: tanitsugu609069@alivila.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000003064.000002213.html,2023-05-31 00:37:31,"",""
株式会社環境技研,稲山,076-482-5515,inayama@kankyo-giken.jp FAX：076-492-9397,グルメ,https://prtimes.jp/main/html/rd/p/000000002.000114876.html,2023-05-31 00:38:32,"",""
IXホールディングス株式会社,岡村,0596-22-0297,pr@ix-holdings.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000016.000116691.html,2023-05-31 00:40:47,"",""
株式会社ロイズコンフェクト,"","",advertisement-common@royce.com,グルメ,https://prtimes.jp/main/html/rd/p/000000451.000033166.html,2023-05-31 00:41:19,"",""
東急ホテルズ＆リゾーツ株式会社,三浦　希巳奈,03-3477-6566,kimina.miura@tokyuhotels.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000499.000044409.html,2023-05-31 00:42:22,"",""
スターフェスティバル株式会社,"",03-5447-5190,press@stafes.com,グルメ,https://prtimes.jp/main/html/rd/p/000000118.000023812.html,2023-05-31 00:45:03,"",""
日本ケンタッキー・フライド・チキン株式会社,"",045-307-0700,pr-support@kfc.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000294.000032088.html,2023-05-31 00:46:08,"",""
株式会社倉式珈琲,大門　かほり,086-245-5309,daimon@saintmarc-gr.com,グルメ,https://prtimes.jp/main/html/rd/p/000000004.000115558.html,2023-05-31 00:46:30,"",""
東急ホテルズ＆リゾーツ株式会社,"",03-3477-6566,mkt@tokyobaysidehotel.com,グルメ,https://prtimes.jp/main/html/rd/p/000002718.000005113.html,2023-05-31 00:51:42,"",""
株式会社トリトンフーヅ,河原・佐藤・田邊,0964-23-0010,triton-foods@vectorinc.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000025.000075070.html,2023-05-31 00:52:46,"",""
日仏貿易株式会社,浜口/阿倉（はまぐち/あくら）,03-5510-2662,yukiko.hamaguchi@nbkk.co.jp/yuki.akura@nbkk.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000027.000077634.html,2023-05-31 00:53:20,"",""
株式会社ロイヤルクラシック,寺田健史・松田知太,06-6633-0030,restaurant@hotel-royalclassic.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000026.000055001.html,2023-05-31 00:53:52,"",""
