会社名,prtimesのURL,メールアドレス,電話番号,担当者,カテゴリ,日時,連絡禁止,初回アポ済み
株式会社アルベナ,https://prtimes.jp/main/html/rd/p/000000003.000119814.html,alubena_info@alubena.com,03-6774-6974,仲林功丞,ビジネス,2023-10-14 10:29:02,"",""
株式会社アントレプレナーファクトリー,https://prtimes.jp/main/html/rd/p/000000007.000042053.html,offer@enfac.co.jp,06-6344-5995,株式会社アントレプレナーファクトリー　大野,ビジネス,2023-10-14 10:29:07,"",""
神農生活株式会社,https://prtimes.jp/main/html/rd/p/000000005.000119854.html,maggiewu@majitreats.com,"","",ライフスタイル,2023-10-14 10:29:11,"",""
横浜市,https://prtimes.jp/main/html/rd/p/000001234.000013670.html,ky-syobun@city.yokohama.jp,"",小野寺紀子,ビジネス,2023-10-14 10:30:17,"",""
癒toRi18株式会社,https://prtimes.jp/main/html/rd/p/000000002.000128109.html,sakamoto@one-o.com,"",坂本　 MAIL：sakamoto@one-o.com TEL：03-5774-1420,ライフスタイル,2023-10-14 10:31:43,"",""
扉ホールディングス株式会社,https://prtimes.jp/main/html/rd/p/000000016.000069427.html,press@tobira-group.com,0263-88-3266,久保田,ライフスタイル,2023-10-14 10:31:55,"",""
株式会社アールエフテクニカ,https://prtimes.jp/main/html/rd/p/000000002.000125167.html,lbuff.store@rftecnica.com,03-5363-4011,伊東・山本,ライフスタイル,2023-10-14 10:32:30,"",""
海と日本プロジェクト広報事務局,https://prtimes.jp/main/html/rd/p/000002080.000077920.html,miyamoto-ryou@sun-tv.co.jp,03-6441-2561,　　 ：事務局　宮本,ライフスタイル,2023-10-14 10:32:55,"",""
株式会社TechnoBlood eSports,https://prtimes.jp/main/html/rd/p/000000007.000084299.html,event@technoblood.com,03-5990-6644,"",ライフスタイル,2023-10-14 10:33:18,"",""
澁谷食品株式会社,https://prtimes.jp/main/html/rd/p/000000034.000081839.html,yasunami.sayaka@imokin.co.jp,0889-24-5131,安並　冴也加,ライフスタイル,2023-10-14 10:33:41,"",""
株式会社シープ,https://prtimes.jp/main/html/rd/p/000000001.000130589.html,info@sheeep.co.jp,03-6421-0494,"",ライフスタイル,2023-10-14 10:33:54,"",""
株式会社マッシュホールディングス,https://prtimes.jp/main/html/rd/p/000002214.000018505.html,m.nakamura@mashbeautylab.com,03-3261-2851,中村,ビジネス,2023-10-14 10:34:35,"",""
株式会社関電エネルギーソリューション,https://prtimes.jp/main/html/rd/p/000000001.000130804.html,kenes_pr@signalinc.co.jp,"","",ビジネス,2023-10-14 10:34:52,"",""
阪急阪神不動産株式会社,https://prtimes.jp/main/html/rd/p/000000293.000033147.html,info-ir@qz.sekisuihouse.co.jp,"","",ライフスタイル,2023-10-14 10:35:08,"",""
AYANA Hospitality,https://prtimes.jp/main/html/rd/p/000000027.000047329.html,tso@ayanaresort.com,"",石原　寛子,ライフスタイル,2023-10-14 10:35:59,"",""
阪急阪神ホールディングス株式会社,https://prtimes.jp/main/html/rd/p/000002084.000005179.html,oscustomer@osgroup.jp,"",大橋・尾崎（※2）,ライフスタイル,2023-10-14 10:36:03,"",""
コガネブリュワリー株式会社,https://prtimes.jp/main/html/rd/p/000000002.000130366.html,info@koganebrewery.com,079-280-5910,後藤安希,ライフスタイル,2023-10-14 10:36:10,"",""
株式会社西日本新聞社,https://prtimes.jp/main/html/rd/p/000000194.000027592.html,seiji.inoue@nishinippon-np.jp,"","",ビジネス,2023-10-14 10:36:20,"",""
一般社団法人 日本ワイナリーアワード協議会,https://prtimes.jp/main/html/rd/p/000000007.000079991.html,info@japan-winery-award.jp,03-3617-1371,"",ライフスタイル,2023-10-14 10:36:30,"",""
株式会社agricoeules,https://prtimes.jp/main/html/rd/p/000000001.000129556.html,info@shodaibionature.co.jp,052-265-5869,"",グルメ,2023-10-14 10:36:39,"",""
bluecode株式会社,https://prtimes.jp/main/html/rd/p/000000008.000037962.html,press@bluecode.co.jp,0467-33-5090,山下,グルメ,2023-10-14 10:37:39,"",""
SA株式会社,https://prtimes.jp/main/html/rd/p/000000003.000119667.html,shimada@special-anniversary.com,0564-64-9922,嶋田圭佑,グルメ,2023-10-14 10:37:49,"",""
ジェイアール東海フードサービス株式会社,https://prtimes.jp/main/html/rd/p/000000008.000124425.html,ochi@jrt-food-service.co.jp,052-587-1752,"",ライフスタイル,2023-10-14 10:37:54,"",""
株式会社マクロス,https://prtimes.jp/main/html/rd/p/000000003.000113359.html,yoneda@macros.ne.jp,03-3829-8951,⽶⽥・豊島,ライフスタイル,2023-10-14 10:39:20,"",""
株式会社中谷本舗,https://prtimes.jp/main/html/rd/p/000000010.000061612.html,kei-nakatani@izasa.co.jp,0742-48-5000,中谷圭佑,グルメ,2023-10-14 10:39:28,"",""
株式会社商船三井,https://prtimes.jp/main/html/rd/p/000000126.000092744.html,molc_press@molgroup.com,"","",ライフスタイル,2023-10-14 10:39:36,"",""
リボン食品株式会社,https://prtimes.jp/main/html/rd/p/000000054.000028437.html,m-igaki@ribbonf.co.jp,06-6301-6855,] 通販事業二課　井垣,グルメ,2023-10-14 10:39:38,"",""
サンヨー食品株式会社,https://prtimes.jp/main/html/rd/p/000000015.000052933.html,bp2-1g@materialpr.jp,"",]松本：070-2492-4271/大高：090-4433-2876,グルメ,2023-10-14 10:40:27,"",""
アーツアンドクラフツ株式会社,https://prtimes.jp/main/html/rd/p/000000077.000013986.html,contacts@we-ll.com,0422-21-9991,contacts@we-ll.com,ライフスタイル,2023-10-14 10:40:42,"",""
European Commission,https://prtimes.jp/main/html/rd/p/000000015.000075476.html,pr_jp@sopexa.com,"","",ライフスタイル,2023-10-14 10:40:48,"",""
南陽市役所,https://prtimes.jp/main/html/rd/p/000000002.000129399.html,gakkyo2@city.nanyo.yamagata.jp,0238-40-3211,佐藤由紀子,ライフスタイル,2023-10-14 10:41:00,"",""
株式会社壺屋総本店,https://prtimes.jp/main/html/rd/p/000000001.000083951.html,t-akihiko@tsuboya.net,0166-61-1234,専務取締役　村本 暁彦 (不在時は販売企画課 原田宛に御願いします),ライフスタイル,2023-10-14 10:41:19,"",""
株式会社JO,https://prtimes.jp/main/html/rd/p/000000017.000010065.html,press@jo-inc.jp,03-6417-9690,横田・尾山,ライフスタイル,2023-10-14 10:41:30,"",""
株式会社ジャパンサイクルリーグ,https://prtimes.jp/main/html/rd/p/000000019.000102078.html,info@jcleague.jp,03-6384-5255,"",ライフスタイル,2023-10-14 10:41:41,"",""
株式会社サムライブロックチェーンゲームズ,https://prtimes.jp/main/html/rd/p/000000001.000122546.html,market@samurai-blockchain.com,"",井上,ライフスタイル,2023-10-14 10:45:18,"",""
株式会社ブシロード,https://prtimes.jp/main/html/rd/p/000007190.000014827.html,rmurakami@bushiroad.com,"",村上,ライフスタイル,2023-10-14 10:45:43,"",""
マルヒロぶどうファーム,https://prtimes.jp/main/html/rd/p/000000001.000130878.html,oasis@maruhirogrape.com,"","",ライフスタイル,2023-10-14 10:46:35,"",""
株式会社 シャークアタック,https://prtimes.jp/main/html/rd/p/000000001.000121146.html,shoptokyo@sharkattack.jp,06-6551-0345,"",ライフスタイル,2023-10-14 10:48:01,"",""
一宮物産株式会社,https://prtimes.jp/main/html/rd/p/000000001.000130982.html,info@iritateya.co.jp,06-6886-5157,"",ライフスタイル,2023-10-14 10:48:57,"",""
株式会社 横浜八景島,https://prtimes.jp/main/html/rd/p/000000582.000011571.html,n.arai@aqua-park.jp,"",　新井・佐瀬,ライフスタイル,2023-10-14 10:49:11,"",""
一般社団法人U-me,https://prtimes.jp/main/html/rd/p/000000005.000108537.html,info@umisodate.com,090-6757-0620,望月,ライフスタイル,2023-10-14 10:49:42,"",""
Centara Osaka Japan株式会社,https://prtimes.jp/main/html/rd/p/000000010.000114903.html,aire@chr.co.th,06-6616-9945,レイノルズ ・杭原,ライフスタイル,2023-10-14 10:49:49,"",""
Japan Global Association株式会社,https://prtimes.jp/main/html/rd/p/000000060.000034311.html,info@jaga.co.jp,03-5758-8181,"",ライフスタイル,2023-10-14 10:50:11,"",""
株式会社東栄住宅,https://prtimes.jp/main/html/rd/p/000000038.000071450.html,e-blooming@touei.co.jp,042-463-0220,"",ライフスタイル,2023-10-14 10:51:52,"",""
株式会社七條甘春堂,https://prtimes.jp/main/html/rd/p/000000001.000130158.html,info@7jyo-kansyundo.co.jp,075-541-4090,"",ライフスタイル,2023-10-14 10:52:09,"",""
株式会社フクナガ,https://prtimes.jp/main/html/rd/p/000000042.000079035.html,pr@fukunaga-tf.com,075-221-0593,企画デザイン部 西垣,ライフスタイル,2023-10-14 10:52:51,"",""
クールフライヤー株式会社,https://prtimes.jp/main/html/rd/p/000000009.000077365.html,info2@coolfryer.co.jp,045-516-1298,"",ライフスタイル,2023-10-14 10:53:13,"",""
一般社団法人　日本クリケット協会,https://prtimes.jp/main/html/rd/p/000000039.000054680.html,n-miyaji@cricket.or.jp,050-3766-4483,宮地直樹,スポーツ,2023-10-14 10:54:17,"",""
一般社団法人ルータス,https://prtimes.jp/main/html/rd/p/000000002.000090589.html,info@routus.or.jp,"","",ライフスタイル,2023-10-14 10:54:18,"",""
マーティ株式会社,https://prtimes.jp/main/html/rd/p/000000223.000083890.html,customer-support@marty.co.jp,03-6417-4422,岸田,スポーツ,2023-10-14 10:54:20,"",""
公益財団法人九州経済調査協会,https://prtimes.jp/main/html/rd/p/000000012.000064699.html,odekake-watcher@kerc.or.jp,092-721-4900,"",ライフスタイル,2023-10-14 10:54:35,"",""
沿線まるごと株式会社,https://prtimes.jp/main/html/rd/p/000000004.000127030.html,info@marugotohotel-omeline.com,0428-85-8190,牧,ライフスタイル,2023-10-14 10:54:55,"",""
東急株式会社,https://prtimes.jp/main/html/rd/p/000000884.000010686.html,info@jtos.co.jp,03-3477-0109,満田　Email info@jtos.co.jp / TEL 03-6778-4366,ライフスタイル,2023-10-14 10:55:08,"",""
JR東日本スタートアップ株式会社,https://prtimes.jp/main/html/rd/p/000000228.000034286.html,info@jtos.co.jp,"",満田　Email info@jtos.co.jp / TEL 03-6778-4366,ライフスタイル,2023-10-14 10:55:14,"",""
GMOあおぞらネット銀行株式会社,https://prtimes.jp/main/html/rd/p/000000225.000034650.html,pr@decurret-dcp.com,"","",ライフスタイル,2023-10-14 10:55:31,"",""
小田急電鉄株式会社,https://prtimes.jp/main/html/rd/p/000001157.000012974.html,info@jtos.co.jp,"",満田　Email info@jtos.co.jp / TEL 03-6778-4366,ライフスタイル,2023-10-14 10:55:41,"",""
株式会社Luup,https://prtimes.jp/main/html/rd/p/000000252.000043250.html,info@jtos.co.jp,"",満田　Email info@jtos.co.jp / TEL 03-6778-4366,ライフスタイル,2023-10-14 10:55:46,"",""
JR東日本スタートアップ株式会社,https://prtimes.jp/main/html/rd/p/000000230.000034286.html,info@marugotohotel-omeline.com,"",　牧　Email info@marugotohotel-omeline.com/ TEL 0428-85-8190,ライフスタイル,2023-10-14 10:55:52,"",""
ゼッタリンクス株式会社,https://prtimes.jp/main/html/rd/p/000000032.000003742.html,asakai@zetta.co.jp,03-5615-3761,酒井　明美,ライフスタイル,2023-10-14 10:57:06,"",""
GOOD COFFEE FARMS株式会社,https://prtimes.jp/main/html/rd/p/000000021.000058169.html,info@goodcoffeefarms.com,050-5375-5805,佐藤 info@goodcoffeefarms.com,ライフスタイル,2023-10-14 10:57:12,"",""
株式会社マルアイ,https://prtimes.jp/main/html/rd/p/000000072.000051757.html,pr@maruai.co.jp,"","",ライフスタイル,2023-10-14 10:58:02,"",""
株式会社ホテルマネージメントジャパン,https://prtimes.jp/main/html/rd/p/000001408.000016207.html,marketing@hilton-narita.com,03-6422-0510,高浪、馬場,ライフスタイル,2023-10-14 10:59:58,"",""
一般社団法人　日本自動車連盟（JAF）【地方】,https://prtimes.jp/main/html/rd/p/000004787.000010088.html,saga-jigyou@o3.jaf.or.jp,03-3578-2811,山﨑・西川,ライフスタイル,2023-10-14 11:01:11,"",""
株式会社クロスティホールディングス,https://prtimes.jp/main/html/rd/p/000000005.000103661.html,pr@crossty-hd.ne.jp,011-751-0133,　　： 人事部広報担当　山口,ライフスタイル,2023-10-14 11:01:26,"",""
株式会社ダイブ,https://prtimes.jp/main/html/rd/p/000000123.000034289.html,pr@dive.design,03-6311-9833,原,ライフスタイル,2023-10-14 11:01:36,"",""
株式会社イートクリエーター,https://prtimes.jp/main/html/rd/p/000000061.000057219.html,press@nsk-office.com,03-6667-0838,"",ライフスタイル,2023-10-14 11:01:40,"",""
特定非営利活動法人エルピーアイジャパン,https://prtimes.jp/main/html/rd/p/000000133.000001271.html,press@lpi.or.jp,03-6205-7025,"",ライフスタイル,2023-10-14 11:03:21,"",""
株式会社トゥリー,https://prtimes.jp/main/html/rd/p/000000022.000021736.html,support@tree.vc,050-3339-8800,"",ライフスタイル,2023-10-14 11:04:56,"",""
都市綜研インベストファンド株式会社,https://prtimes.jp/main/html/rd/p/000000004.000128739.html,marketing@invest-fund.co.jp,06-6341-0010,小堀,ライフスタイル,2023-10-14 11:05:29,"",""
株式会社Tozai Games,https://prtimes.jp/main/html/rd/p/000000017.000032334.html,press@tozaigames.co.jp,044-811-8385,"",ライフスタイル,2023-10-14 11:06:27,"",""
株式会社ハピネット,https://prtimes.jp/main/html/rd/p/000001434.000031422.html,mdkikaku@hsn.happinet.co.jp,"","",ライフスタイル,2023-10-14 11:07:19,"",""
株式会社オーイーシー,https://prtimes.jp/main/html/rd/p/000000016.000042270.html,nozaki@oec.co.jp,097-537-1212,野﨑,ライフスタイル,2023-10-14 11:08:19,"",""
"Action Square Co., Ltd.",https://prtimes.jp/main/html/rd/p/000000001.000130963.html,jonathan@action2quare.com,"",Andrew Park,ライフスタイル,2023-10-14 11:41:37,"",""
リードオフジャパン株式会社,https://prtimes.jp/main/html/rd/p/000000001.000000457.html,shiho-s@lead-off-japan.co.jp,03-5464-8170,勝（すぐれ）,ライフスタイル,2023-10-14 12:43:43,"",""
カルチュア・コンビニエンス・クラブ株式会社,https://prtimes.jp/main/html/rd/p/000000980.000000983.html,pr@newstech.co.jp,03-6800-4464,井上・林,ライフスタイル,2023-10-14 23:09:19,"",""
SOUQ株式会社,https://prtimes.jp/main/html/rd/p/000000001.000108449.html,info@souq-hub.co.jp,080-6507-9882,"",ライフスタイル,2023-10-15 06:13:48,"",""
株式会社マッシュホールディングス,https://prtimes.jp/main/html/rd/p/000002221.000018505.html,sh.ito@mashlifelab.com,03-3261-2851,"",ライフスタイル,2023-10-15 07:20:25,"",""
丸紅株式会社,https://prtimes.jp/main/html/rd/p/000000011.000062542.html,hitomi-otsuka@marubeni.com,"","",ライフスタイル,2023-10-15 08:52:23,"",""
東京里山墓苑,https://prtimes.jp/main/html/rd/p/000000001.000130922.html,press@tokyo-satoyamaboen.com,"",島,ライフスタイル,2023-10-15 15:15:30,"",""
株式会社YOLO JAPAN,https://prtimes.jp/main/html/rd/p/000000164.000015950.html,marketing@yolo-japan.co.jp,"","",ライフスタイル,2023-10-15 20:59:50,"",""
東急不動産SCマネジメント株式会社,https://prtimes.jp/main/html/rd/p/000000085.000014324.html,tokyuplaza_kamata@ssu.co.jp,"",： 加藤茜（080-7954-0847）、新甫（しんぼ／070-3258-4324）、照井,ライフスタイル,2023-10-15 21:00:04,"",""
東急不動産SCマネジメント株式会社,https://prtimes.jp/main/html/rd/p/000000084.000014324.html,decks_pr@ssu.co.jp,"",新甫（070-3258-4324）、奥抜（090-9152-6320）、照井,ライフスタイル,2023-10-16 01:09:22,"",""
株式会社ツクリエ,https://prtimes.jp/main/html/rd/p/000000204.000033548.html,masao-kawano@tcic.jp,03-4405-1357,"",ライフスタイル,2023-10-16 02:09:27,"",""
インキュベイトファンド株式会社,https://prtimes.jp/main/html/rd/p/000000074.000005647.html,incubatecamp@incubatefund.com,080-4447-8278,"",テクノロジー,2023-10-16 02:59:24,"",""
株式会社Greenspoon,https://prtimes.jp/main/html/rd/p/000000065.000055700.html,kaoru.kumamoto@greenspoon.co.jp,03-6804-5253,"",ライフスタイル,2023-10-16 02:59:35,"",""
株式会社AI VOLT,https://prtimes.jp/main/html/rd/p/000000006.000121111.html,m.gunshin@ai-volt.co.jp,"",代表取締役　軍神未来,モバイル,2023-10-16 08:42:38,"",""
XTech Ventures株式会社,https://prtimes.jp/main/html/rd/p/000000005.000099021.html,takamoto@xtech-ventures.co.jp,"",高本寛将 / Takamoto Hiroyuki,テクノロジー,2023-10-19 09:13:31,"",""
CHROFY株式会社,https://prtimes.jp/main/html/rd/p/000000002.000111368.html,pr@chrofy.co.jp,"",　pr@chrofy.co.jp,テクノロジー,2023-10-19 09:16:19,"",""
ジーフィット株式会社,https://prtimes.jp/main/html/rd/p/000000010.000110792.html,support@tradom.jp,"",沖崎 繭 (おきざきまゆ),テクノロジー,2023-10-19 09:16:29,"",""
Maria Project株式会社,https://prtimes.jp/main/html/rd/p/000000022.000045105.html,info@maria.co.jp,03-6277-4671,　合志友里（ごうしゆり）,テクノロジー,2023-10-19 09:17:15,"",""
tonari株式会社,https://prtimes.jp/main/html/rd/p/000000014.000069342.html,hey@tonari.no,"","",テクノロジー,2023-10-19 09:17:55,"",""
株式会社ロゼッタ,https://prtimes.jp/main/html/rd/p/000000596.000006279.html,marketing@rozetta.jp,"","",テクノロジー,2023-10-19 09:18:42,"",""
株式会社Will Smart,https://prtimes.jp/main/html/rd/p/000000092.000025260.html,fujioka@sora-hana.jp,03-3527-2100,藤岡　TEL:03-6436-7821　MAIL：fujioka@sora-hana.jp,テクノロジー,2023-10-19 09:19:29,"",""
SBIインシュアランスグループ株式会社,https://prtimes.jp/main/html/rd/p/000000179.000098438.html,pr@sbilife.co.jp,"","",テクノロジー,2023-10-19 09:19:35,"",""
株式会社NTTコノキュー,https://prtimes.jp/main/html/rd/p/000000063.000110582.html,ed-univex-ml@ntt.com,"","",テクノロジー,2023-10-19 09:20:11,"",""
株式会社Zendesk,https://prtimes.jp/main/html/rd/p/000000032.000064750.html,zendesk-pr@kyowa-pr.co.jp,"",　西田、小山,テクノロジー,2023-10-19 09:20:19,"",""
株式会社採用戦略研究所,https://prtimes.jp/main/html/rd/p/000000015.000018345.html,itou@rs-lab.jp,06-4300-7120,伊藤,テクノロジー,2023-10-19 09:20:41,"",""
株式会社天地人,https://prtimes.jp/main/html/rd/p/000000081.000045963.html,info-compass@tenchijin.co.jp,"",立石、白坂,テクノロジー,2023-10-19 09:21:18,"",""
株式会社KICOシステムズ,https://prtimes.jp/main/html/rd/p/000000024.000044630.html,kico_sol@kico.co.jp,03-3556-7003,"",テクノロジー,2023-10-19 09:22:03,"",""
株式会社アラヤ,https://prtimes.jp/main/html/rd/p/000000021.000049573.html,support@araya.org,03-6426-5144,浅井,テクノロジー,2023-10-19 09:23:03,"",""
株式会社NTTドコモ,https://prtimes.jp/main/html/rd/p/000000089.000118641.html,msri-inq-ml@nttdocomo.com,"","",テクノロジー,2023-10-19 09:24:37,"",""
株式会社ONE X,https://prtimes.jp/main/html/rd/p/000000005.000119271.html,onex@one-x.jp,"",共同創業者 太谷 成秀,テクノロジー,2023-10-19 09:24:49,"",""
株式会社エムティーアイ,https://prtimes.jp/main/html/rd/p/000001127.000002943.html,pr-ohq@omron.com,03-5333-6755,"",テクノロジー,2023-10-19 09:24:54,"",""
ジェネクスト株式会社,https://prtimes.jp/main/html/rd/p/000000026.000020454.html,misaki_masubuchi@genext.co.jp,045-594-9366,増渕 実咲,テクノロジー,2023-10-19 09:26:09,"",""
株式会社リンクス,https://prtimes.jp/main/html/rd/p/000000031.000064798.html,public_relations@linx.jp,03-6417-3371,"",テクノロジー,2023-10-19 09:26:22,"",""
株式会社センキョ,https://prtimes.jp/main/html/rd/p/000000021.000063186.html,govai@senkyo.co,03-6427-5707,福嶋,テクノロジー,2023-10-19 09:27:25,"",""
LINEヤフー株式会社,https://prtimes.jp/main/html/rd/p/000000038.000129774.html,ml-ly-pr@lycorp.co.jp,"",須藤（070-1513‐7938）,テクノロジー,2023-10-19 09:28:39,"",""
Tribered Oy,https://prtimes.jp/main/html/rd/p/000000004.000108752.html,y-abe@u-more.co.jp,"",阿部,テクノロジー,2023-10-19 09:29:22,"",""
合同会社サンダーボルトインタラクティブ,https://prtimes.jp/main/html/rd/p/000000007.000041476.html,yasuda@thunderbolt-i.jp,0561-56-8805,安田,テクノロジー,2023-10-19 09:29:55,"",""
有限会社芦澤商会,https://prtimes.jp/main/html/rd/p/000000006.000100258.html,support@xround.jp,0742-93-8560,芦澤（あしざわ）,テクノロジー,2023-10-19 09:30:02,"",""
Meltwater Japan株式会社,https://prtimes.jp/main/html/rd/p/000000005.000087673.html,keiko.okada@meltwater.com,03-4520-7100,岡田敬子,テクノロジー,2023-10-19 09:31:27,"",""
株式会社シムトップス,https://prtimes.jp/main/html/rd/p/000000077.000074154.html,marketing@cimtops.co.jp,03-5721-4610,"",テクノロジー,2023-10-19 09:32:49,"",""
Dynatrace合同会社,https://prtimes.jp/main/html/rd/p/000000004.000095848.html,japan.info@dynatrace.com,"","",テクノロジー,2023-10-19 09:33:05,"",""
株式会社Wanna technologies,https://prtimes.jp/main/html/rd/p/000000008.000080657.html,pr@jvolt.co.jp,"",牧野,テクノロジー,2023-10-19 09:34:46,"",""
NetEase Interactive Entertainment Pte. Ltd,https://prtimes.jp/main/html/rd/p/000000315.000071247.html,JP_GlobalPR@list.nie.netease.com,"","",テクノロジー,2023-10-19 09:35:33,"",""
株式会社ライブリンクス,https://prtimes.jp/main/html/rd/p/000000021.000083214.html,llx-contact@livelynx.co.jp,092-836-7401,浅香　守夫,テクノロジー,2023-10-19 09:36:11,"",""
株式会社TxTo,https://prtimes.jp/main/html/rd/p/000000003.000122860.html,shinnosuke.nagaoka@txto.co.jp,"",CMO 永岡真之介,テクノロジー,2023-10-19 09:36:32,"",""
合同会社ISSEN GLOBAL,https://prtimes.jp/main/html/rd/p/000000002.000121595.html,h.hirano@issenglobal.com,"",平野晴紀,テクノロジー,2023-10-19 09:37:51,"",""
株式会社奇兵隊,https://prtimes.jp/main/html/rd/p/000000035.000075570.html,press@kiheitai.co.jp,03-6277-8045,塚田,テクノロジー,2023-10-19 09:38:56,"",""
株式会社フォーデジット,https://prtimes.jp/main/html/rd/p/000000009.000008681.html,4d-pr@4digit.jp,"",前田 玲加,テクノロジー,2023-10-19 09:39:17,"",""
TinyBetter株式会社,https://prtimes.jp/main/html/rd/p/000000017.000043172.html,komiya.makoto@tinybetter.com,"",小宮　誠,テクノロジー,2023-10-19 09:39:21,"",""
株式会社LinQ,https://prtimes.jp/main/html/rd/p/000000002.000116699.html,pr@linqinc.jp,"",原田,テクノロジー,2023-10-19 09:39:57,"",""
株式会社APTO,https://prtimes.jp/main/html/rd/p/000000030.000053927.html,info@apto.co.jp,03-6416-0523,狩野,テクノロジー,2023-10-19 09:40:10,"",""
DXYZ株式会社,https://prtimes.jp/main/html/rd/p/000000049.000091732.html,info@canowhome.co.jp,03-4477-6589,"",テクノロジー,2023-10-19 09:41:07,"",""
株式会社ソリッドレイ研究所,https://prtimes.jp/main/html/rd/p/000000014.000059423.html,pro@solidray.co.jp,045-324-6841,東,テクノロジー,2023-10-19 09:41:47,"",""
株式会社カブク,https://prtimes.jp/main/html/rd/p/000000004.000108946.html,info@kabu-ku.com,"",村松）,エンタメ,2023-10-19 09:52:55,"",""
Melon Music Awards 日本広報事務局,https://prtimes.jp/main/html/rd/p/000000001.000131382.html,mmajapan_pr@beyondlive.com,"","",エンタメ,2023-10-19 09:53:13,"",""
株式会社ハピネット,https://prtimes.jp/main/html/rd/p/000001438.000031422.html,ikkato@hsn.happinet.co.jp,"","",エンタメ,2023-10-19 09:54:59,"",""
株式会社レプロエンタテインメント,https://prtimes.jp/main/html/rd/p/000000524.000041036.html,n-harada@lespros.co.jp,"",原田七海(はらだ・ななみ),エンタメ,2023-10-19 09:55:12,"",""
株式会社文藝春秋,https://prtimes.jp/main/html/rd/p/000000313.000043732.html,y-oya@bunshun.co.jp,03-3265-1211,"",エンタメ,2023-10-19 09:56:17,"",""
株式会社なかむら編集室,https://prtimes.jp/main/html/rd/p/000000001.000129555.html,ciki.consultant.0210@gmail.com,"",中村,エンタメ,2023-10-19 09:57:24,"",""
株式会社ソニー・ミュージックエンタテインメント,https://prtimes.jp/main/html/rd/p/000000070.000049041.html,nakanekana.nknknk@gmail.com,03-3515-5662,三浦・三井,エンタメ,2023-10-19 09:57:30,"",""
株式会社KADOKAWA,https://prtimes.jp/main/html/rd/p/000013537.000007006.html,kojima-ya@kadokawa.jp,"",小嶋康義,エンタメ,2023-10-19 09:57:44,"",""
株式会社トランジットジェネラルオフィス,https://prtimes.jp/main/html/rd/p/000000226.000040062.html,a-yamamoto@legs.co.jp,050-1743-1210,山本,エンタメ,2023-10-19 09:57:56,"",""
株式会社小学館,https://prtimes.jp/main/html/rd/p/000002330.000013640.html,ichi@shogakukan.co.jp,03-3230-5375,　一坪　泰博,エンタメ,2023-10-19 09:58:25,"",""
株式会社　岩手日報社,https://prtimes.jp/main/html/rd/p/000000002.000130976.html,syuppan@iwate-np.co.jp,"","",エンタメ,2023-10-19 10:00:20,"",""
株式会社NSGホールディングス,https://prtimes.jp/main/html/rd/p/000001210.000032951.html,tanaka.kei@nsg.gr.jp,025-364-7011,館長代理　田中　圭,エンタメ,2023-10-19 10:01:35,"",""
カルチュア・エクスペリエンス株式会社,https://prtimes.jp/main/html/rd/p/000000006.000129773.html,cx_press@cl-ex.jp,03-6774-7814,"",エンタメ,2023-10-19 10:02:57,"",""
アパホテル株式会社,https://prtimes.jp/main/html/rd/p/000000612.000018265.html,apazaidan@apa.co.jp,03-5570-2111,"",エンタメ,2023-10-19 10:03:10,"",""
株式会社between the arts,https://prtimes.jp/main/html/rd/p/000000069.000061309.html,pr@bwta.jp,"","",エンタメ,2023-10-19 10:03:29,"",""
株式会社マガジンハウス,https://prtimes.jp/main/html/rd/p/000000316.000030125.html,rina.morishita@magazine.co.jp,03-3545-7111,"",エンタメ,2023-10-19 10:04:14,"",""
札幌テレビ放送株式会社,https://prtimes.jp/main/html/rd/p/000000328.000021750.html,ohsaka-s@stv.co.jp,011-241-1181,"",エンタメ,2023-10-19 10:04:45,"",""
株式会社KADOKAWA,https://prtimes.jp/main/html/rd/p/000013520.000007006.html,kishiyama-y@kadokawa.jp,"","",エンタメ,2023-10-19 10:04:57,"",""
株式会社講談社,https://prtimes.jp/main/html/rd/p/000005549.000001719.html,gendaibusiness_seminar@kodansha.co.jp,03-3945-1111,"",エンタメ,2023-10-19 10:05:20,"",""
株式会社IMAGICA GROUP,https://prtimes.jp/main/html/rd/p/000000278.000037973.html,post@pics.tokyo,"",株式会社ピクス　神戸、橘川,エンタメ,2023-10-19 10:07:01,"",""
株式会社JAPAN WELLNESS INNOVATION,https://prtimes.jp/main/html/rd/p/000000021.000048634.html,o_tsubasa@j-wi.co.jp,"",大崎 電話：080-4128-2567 メールアドレス：o_tsubasa@j-wi.co.jp,エンタメ,2023-10-19 10:08:01,"",""
株式会社アルク,https://prtimes.jp/main/html/rd/p/000001592.000000888.html,tmino@alc.co.jp,"","",エンタメ,2023-10-19 10:08:10,"",""
株式会社トッパントラベルサービス,https://prtimes.jp/main/html/rd/p/000000010.000081672.html,hhijapan@tts.co.jp,03-4570-0600,"",エンタメ,2023-10-19 10:08:41,"",""
株式会社小学館,https://prtimes.jp/main/html/rd/p/000002331.000013640.html,daijisen@shogakukan.co.jp,03-3230-5375,大江,エンタメ,2023-10-19 10:09:01,"",""
UTATA合同会社,https://prtimes.jp/main/html/rd/p/000000001.000131165.html,kukutana_info@utata.co.jp,"","",エンタメ,2023-10-19 10:10:28,"",""
